#{"t_start": 1737965427.0361888, "env_id": "None"}
r,l,t
5.0,12,15.008294
5.0,13,15.015275
7.0,10,15.020317
7.0,10,15.025365
7.0,10,15.030372
8.0,10,15.035328
6.0,12,15.041329
6.0,12,15.047266
6.0,11,15.052701
8.0,11,15.05813
6.0,11,15.063564
4.0,12,15.069503
0.0,17,15.077866
4.0,14,15.084807
8.0,10,15.08973
4.0,12,15.095615
6.0,10,15.100587
2.0,14,15.107621
8.0,11,15.113083
2.0,14,15.120056
6.0,11,15.125552
6.0,10,15.130477
4.0,12,15.136356
4.0,12,15.142204
8.0,10,15.147243
3.0,13,15.153587
7.0,11,15.158991
5.0,12,15.16482
6.0,10,15.169791
4.0,14,15.177205
7.0,10,15.182384
6.0,12,15.188404
7.0,10,15.193393
5.0,11,15.198812
8.0,10,15.203734
6.0,10,15.208653
5.0,12,15.21454
6.0,11,15.219964
7.0,10,15.224812
7.0,11,15.23021
6.0,11,15.235579
5.0,12,15.241531
7.0,10,15.246467
5.0,12,15.252358
6.0,11,15.257982
3.0,15,15.742576
5.0,11,15.748249
7.0,11,15.753825
8.0,10,15.758819
7.0,10,15.763851
8.0,10,15.768943
4.0,11,15.774414
4.0,13,15.780798
5.0,11,15.786229
8.0,10,15.791183
6.0,11,15.796622
6.0,10,15.801659
7.0,10,15.806664
5.0,11,15.812126
6.0,10,15.817148
5.0,12,15.823082
2.0,15,15.830398
8.0,10,15.835622
7.0,10,15.840603
6.0,10,15.845484
7.0,12,15.851357
4.0,12,15.85737
7.0,10,15.862299
5.0,12,15.868165
4.0,12,15.874061
8.0,10,15.878947
5.0,11,15.884326
6.0,10,15.8892
7.0,10,15.894086
5.0,12,15.899918
7.0,10,15.90488
5.0,11,15.910299
0.0,15,15.917608
6.0,11,15.92299
0.0,16,15.930701
6.0,10,15.93576
8.0,11,15.941303
5.0,13,15.947685
4.0,12,15.953781
8.0,10,15.95879
5.0,11,15.964223
5.0,11,15.969684
8.0,10,15.974627
7.0,11,15.979935
6.0,10,15.984992
5.0,11,15.990474
5.0,11,16.477417
6.0,10,16.482642
7.0,10,16.487698
3.0,14,16.494622
6.0,10,16.499792
5.0,10,16.504767
8.0,10,16.50976
3.0,13,16.516138
7.0,10,16.521054
6.0,11,16.52643
6.0,10,16.531421
8.0,10,16.536371
5.0,11,16.541975
7.0,11,16.547356
7.0,11,16.552843
8.0,10,16.557825
5.0,11,16.563234
8.0,10,16.568189
8.0,10,16.573131
4.0,12,16.579027
4.0,12,16.58495
5.0,11,16.59033
5.0,12,16.59627
6.0,10,16.601349
7.0,10,16.606497
6.0,10,16.611555
5.0,11,16.616957
8.0,10,16.621907
7.0,10,16.626919
6.0,12,16.633047
6.0,12,16.63905
7.0,10,16.644167
7.0,11,16.649717
3.0,14,16.656585
5.0,11,16.661977
2.0,14,16.668841
6.0,10,16.67383
4.0,12,16.68014
6.0,10,16.68513
5.0,12,16.690989
3.0,12,16.697008
6.0,11,16.702479
4.0,12,16.708379
6.0,10,16.713379
7.0,10,16.718351
7.0,10,16.723324
5.0,13,17.206791
4.0,13,17.213682
7.0,10,17.218821
4.0,13,17.225252
7.0,10,17.230551
8.0,10,17.235674
6.0,11,17.241264
7.0,11,17.246746
8.0,10,17.251671
8.0,10,17.256659
7.0,10,17.261664
7.0,10,17.266543
8.0,11,17.271977
9.0,10,17.276897
6.0,11,17.282291
4.0,13,17.288747
7.0,12,17.294673
7.0,10,17.299575
6.0,10,17.304523
6.0,10,17.30947
6.0,11,17.31486
3.0,14,17.321729
8.0,10,17.326641
5.0,14,17.333449
5.0,12,17.339318
7.0,10,17.344257
5.0,13,17.350602
5.0,12,17.356489
7.0,10,17.361474
3.0,15,17.36872
5.0,12,17.374625
0.0,17,17.382749
8.0,10,17.38771
7.0,11,17.393099
7.0,10,17.398096
3.0,14,17.404827
